SlimeVolley: 2024-02-15 20:04:20,504 [INFO] EvoJAX SlimeVolley
SlimeVolley: 2024-02-15 20:04:20,504 [INFO] ==============================
SlimeVolley: 2024-02-15 20:05:42,636 [INFO] EvoJAX SlimeVolley
SlimeVolley: 2024-02-15 20:05:42,636 [INFO] ==============================
SlimeVolley: 2024-02-15 20:07:28,363 [INFO] EvoJAX SlimeVolley
SlimeVolley: 2024-02-15 20:07:28,363 [INFO] ==============================
SlimeVolley: 2024-02-16 17:12:51,346 [INFO] EvoJAX SlimeVolley
SlimeVolley: 2024-02-16 17:12:51,346 [INFO] ==============================
SlimeVolley: 2024-02-16 17:12:55,351 [INFO] use_for_loop=False
SlimeVolley: 2024-02-16 17:12:55,385 [INFO] Start to train for 500 iterations.
SlimeVolley: 2024-02-16 17:13:02,956 [INFO] Iter=10, size=128, max=-0.6250, avg=-0.7783, min=-0.8750, std=0.0707
SlimeVolley: 2024-02-16 17:13:04,070 [INFO] Iter=20, size=128, max=-0.4375, avg=-0.6411, min=-0.8750, std=0.0766
SlimeVolley: 2024-02-16 17:13:05,508 [INFO] Iter=30, size=128, max=-0.5000, avg=-0.6626, min=-0.8125, std=0.0576
SlimeVolley: 2024-02-16 17:13:06,727 [INFO] Iter=40, size=128, max=-0.6250, avg=-0.7549, min=-0.8750, std=0.0623
SlimeVolley: 2024-02-16 17:13:07,831 [INFO] Iter=50, size=128, max=-0.3750, avg=-0.6772, min=-0.8750, std=0.0946
SlimeVolley: 2024-02-16 17:13:12,653 [INFO] [TEST] Iter=50, #tests=100, max=1.0000, avg=-0.6700, min=-1.0000, std=0.5302
SlimeVolley: 2024-02-16 17:13:14,018 [INFO] Iter=60, size=128, max=-0.1875, avg=-0.6152, min=-0.8125, std=0.0958
SlimeVolley: 2024-02-16 17:13:15,259 [INFO] Iter=70, size=128, max=-0.3750, avg=-0.7017, min=-1.0000, std=0.1385
SlimeVolley: 2024-02-16 17:13:16,551 [INFO] Iter=80, size=128, max=-0.3125, avg=-0.6968, min=-0.8750, std=0.1205
SlimeVolley: 2024-02-16 17:13:17,830 [INFO] Iter=90, size=128, max=-0.2500, avg=-0.7373, min=-0.9375, std=0.1294
SlimeVolley: 2024-02-16 17:13:19,066 [INFO] Iter=100, size=128, max=-0.1875, avg=-0.4985, min=-0.8125, std=0.1456
SlimeVolley: 2024-02-16 17:13:19,113 [INFO] [TEST] Iter=100, #tests=100, max=1.0000, avg=-0.3800, min=-1.0000, std=0.5250
SlimeVolley: 2024-02-16 17:13:20,714 [INFO] Iter=110, size=128, max=-0.1250, avg=-0.5483, min=-0.9375, std=0.1680
